Time,Asp,Glu,Cys,Phe,Gln,Tyr,Ser,Met,Val,Gly,Leu,Ala,Ile,Thr,His,Lys,Arg,Ammonia
0,1.3,16.9,0,0.4,1.7,0.4,2.6,0,1.2,1.7,0,1.8,0,0.4,0.3,0.4,0.3,199
2,1.9,21.2,0,0.3,10.1,0.4,2.7,0,1.4,2.3,0,6.9,0,0.1,0.3,0.4,0.3,202
4,3.6,26.4,18.1,0.4,34.6,0.4,3.1,4.6,2.8,4.4,3.9,7.1,8.8,4.1,0.4,2.1,3.5,194
6,4.7,19.3,6.2,0.4,27.8,0.4,3.4,6.1,3.2,3.6,4.8,6.4,9.8,4.2,1.4,5.5,2.4,126
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND
10,3.9,22.3,10,1,15.8,1.4,4.2,0,3.3,5.6,0,8.4,0,10.2,0.9,1.9,1.7,194
24,7.7,138,22.8,4,74.2,5.9,5.1,8.6,5.6,7.6,7.6,45.4,10.5,17.9,0.4,2.3,6.1,289
