Time,Asp,Glu,Cys,Phe,Gln,Tyr,Ser,Met,Val,Gly,Leu,Ala,Ile,Thr,His,Lys,Arg,Ammonia
0,2.1,27.5,11.2,0.4,5.4,0.4,1.1,0.4,0.9,2.1,6.8,5.4,2.6,0.4,0.3,0.3,0.4,114
2,1.4,11,10.8,0.4,8.6,0.4,2.4,5.4,1.9,4.5,7.5,17.1,2.6,1.2,0.3,0.3,0.3,108
4,7.5,31.3,16.6,0.4,33.6,0.4,5.2,16.3,7.6,9.3,4,22.6,2.2,8.4,1.2,6.6,4.4,90
6,3.7,23.6,12.8,0.4,13.9,0.4,4.1,6.3,0.2,7.4,5.9,14,2.5,3,0.4,1.2,3.5,114
8,2,10.3,16,0.4,7.6,0.4,2.5,0.8,2.1,5.9,4.3,10.2,1.4,1.8,0.3,0.4,0.4,115
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4.5,72.5,14.2,0.3,25.6,0.4,8.2,3.7,12.8,13.9,11.8,154,15.6,5.7,0.3,0.7,0.7,127
