time,Asp,Glu,Cys,Phe,Gln,Tyr,Ser,Met,Val,Gly,Leu,Ala,Ile,Thr,His,Lys,Arg,Ammonia
0,12.2,23.6,9.9,8.4,27.8,6.5,8.9,7.8,11.3,4.9,13.9,31.8,8,8.6,3.9,10.9,17.4,11.9
2,14.2,70,13.9,12.7,55.6,9.3,17.4,11.9,26.4,14.1,20.6,67.3,13.7,20.7,1.6,26.5,26.2,5.5
4,14.4,98.7,31.6,11.1,51.2,8.3,16.7,12.3,21.3,21.5,17.3,66.7,12.2,28.2,8.5,24.9,29.6,6.6
6,26.1,324,67.5,13.1,80.6,10.7,21.2,17.7,25.7,43.4,17.8,104,13.1,43.6,4.3,31,105,13.4
8,80,0,94.1,19.5,0,14.5,29.7,27.2,56.2,65.5,27.2,262,21.3,45.8,8.5,45.4,149,12.2
10,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
24,68.1,0,51,49.5,0,35.2,56,44,93.2,34.8,80.4,518,90.8,58.5,13.6,74.8,194,12.5
