Time,Asp,Glu,Cys,Phe,Gln,Tyr,Ser,Met,Val,Gly,Leu,Ala,Ile,Thr,His,Lys,Arg,Ammonia
0,0.9,8.8,3.6,0.4,3.2,0.4,1.3,0.4,0.4,0.9,0.7,2.6,0.7,0.4,0.3,0.4,0.3,8.3
2,5.1,67.5,12.6,1.8,76.8,1.8,7.1,2.5,8.2,5.9,3.1,30.4,3.3,7.8,2.3,10.9,5.2,13.6
4,7.2,92.6,13.1,2.9,96.3,2.4,7,3.1,8.4,9.1,4.8,34.7,4.3,14.5,2.8,15.9,5.2,9.5
6,19.7,249,24.6,6,186,5.6,15,4.8,12.4,18.2,8.9,60.5,7.1,26.9,6.2,31,15.7,7.9
8,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
10,51.2,0,15.9,16.4,0,19.7,24.9,13.4,27.1,25.8,25.1,91.7,15.8,38.7,16.4,81.1,300,15.7
24,26.7,252,24.3,13.4,150,11.7,15,7.1,20.4,9.1,19.2,240,27.8,13.3,11.8,35.2,326,17.8
